color,from,l,a,b,parent
白,先秦色彩_肖世孟,100,0,0,白
砖褐,色谱_perchouli,21.112,28.051,18.446,黑
栗棕,色谱_perchouli,21.112,28.051,18.446,黑
枣褐,色谱_perchouli,29.517,28.188,30.276,黑
枣褐,染作江南春水色_金成熺,53.32,22.93,6.16,黑
小红,染作江南春水色_金成熺,55.44,29.48,21.97,赤
茶褐,染作江南春水色_金成熺,55.44,29.48,21.97,黑
赭绿,中国传统色彩图鉴_鸿洋,45.581,1.602,33.347,黑
深蓝,国标,32,-8.6,-22.4,黑
深蓝,染色样本士林类_何进丰,30,5,-37,黑
葡萄紫,国标,31.8,22.5,-19.3,黑
焦茶绿,色谱_perchouli,27.09,7.376,25.666,黑
蟹壳绿,中国色名综览_凑幸卫,55.3001264,1.534901327,20.99626507,黑
深海绿,中国色名综览_凑幸卫,41.1205401,-12.83755371,-3.846532813,黑
云杉绿,色谱_perchouli,12.225,-8.287,3.47,黑
云杉绿,中国色名综览_凑幸卫,25.00698478,-18.08164319,1.504827046,黑
钢蓝,色谱_perchouli,6.532,2.584,-11.038,黑
栗紫,色谱_perchouli,19.837,29.86,15.44,黑
茄皮紫,色谱_perchouli,7.841,17.765,3.314,黑
茄皮紫,中国色名综览_凑幸卫,30.69429804,27.5028716,0.775962242,黑
暗蓝紫,色谱_perchouli,6.022,6.295,-12.56,黑
苍蝇灰,中国色名综览_凑幸卫,55.13513644,11.66220385,-1.10105595,黑
橄榄灰,DIC中国传统色,62.003,-8.686,7.118,黑
骐驎,故宫里的色彩美学_郭浩,15.897,8.244,-27.615,黑
帝释青,故宫里的色彩美学_郭浩,21.208,3.37,-30.456,黑
绀色,古色之美_青简,15.784,-4.078,-18.882,黑
深墨绿,涤棉色谱_何进丰,34,-15,-2,黑
紫蓝,钧瓷色彩的特征与分类体系研究_王庆斌,8.579,22.482,-21.008,黑
深草绿,涤棉色谱_何进丰,40,-13,17,黑
黑,先秦色彩_肖世孟,0,0,0,黑
嫩绿,国标,81,-22.8,48.7,绿
葱黄,中国传统色彩图鉴_鸿洋,69.509,-28.502,60.543,黄
嫩绿,中国传统色彩图鉴_鸿洋,69.509,-28.502,60.543,绿
灰绿,色谱_perchouli,46.385,5.158,48.569,绿
灰绿,中国色名综览_凑幸卫,54.13729657,1.793211668,47.29634728,绿
艾绿,色谱_perchouli,83.487,-5.947,6.866,绿
草绿,人造丝绸缎色谱_何进丰,55,10,25,绿
祖母绿,钧瓷色彩的特征与分类体系研究_王庆斌,52.052,-32.968,53.699,绿
橄榄绿,色谱_perchouli,35.236,-3.231,36.352,绿
墨绿,染色样本士林类_何进丰,27,-111,-7,绿
墨绿,染色样本硫化类_何进丰,27,-7,-6,绿
油绿,色谱_perchouli,23.196,-15.453,12.547,绿
豆青,国标,85.8,-9.4,-7.5,绿
孔雀绿,中国传统色彩图鉴_鸿洋,54.805,-39.55,-10.779,绿
鹦鹉绿,色谱_perchouli,63.849,-48.01,58.148,绿
鹦鹉绿,中国色名综览_凑幸卫,64.14139573,-40.79767351,58.48845744,绿
苹果绿,色谱_perchouli,79.616,-22.696,49.757,绿
芦灰,色谱_perchouli,48.435,10.341,0.789,绿
猴毛灰,中国色名综览_凑幸卫,64.867732,10.42440321,4.029537778,绿
瓜皮绿,乾隆色谱_刘剑,20,-6,5,绿
大块,故宫里的色彩美学_郭浩,69.702,3.201,22.38,绿
翡翠色,中国颜色_黄仁达,35.121,-34.37,-13.914,绿
浅嫩绿,涤棉色谱_何进丰,85,-24,32,绿
青菜绿,中国色名综览_凑幸卫,71.58316435,-51.09692881,45.4172776,绿
枝绿,中国传统色彩图鉴_鸿洋,87.528,-7.787,15.001,碧
玉色,国标,80.8,-13.6,17.7,碧
玉色,故宫里的色彩美学_郭浩,90.589,-1.162,9.994,碧
鹦哥绿,国标,76.4,-36.8,5.5,碧
鹦哥绿,中国色名综览_凑幸卫,61.67588909,-45.49256094,-4.633001871,碧
石绿,敦煌彩绘文物数字化保护色卡制作方法研究_梁金星,39.65,-27.62,10.5,碧
碧绿,中国颜色_黄仁达,55.067,-50.224,-3.446,碧
碧绿,古色之美_青简,43.206,-34.483,-15.81,碧
蛋青,国标,89.3,-8.4,-3.9,碧
蛋青,DIC中国传统色,89.939,-4.914,1.049,碧
蛋青,绞丝染色基本色谱_何进丰,46,-35,-21,碧
蛋青,中国色名综览_凑幸卫,91.08172557,1.712453497,-11.8007321,碧
石蓝,国标,66.6,-16.8,-30.6,碧
丁香紫,DIC中国传统色,39.912,12.265,-12.189,碧
丁香紫,中国美色_中国国家地理,67.713,16.381,-17.785,碧
丁香色,中国传统色彩图鉴_鸿洋,67.713,16.381,-17.785,紫
蛙绿,色谱_perchouli,67.186,-43.595,15.066,碧
毛绿,色谱_perchouli,71.457,-39.28,18.463,碧
毛绿,DIC中国传统色,35.7,-7.265,-8.991,碧
毛绿,中国色名综览_凑幸卫,81.34788326,-28.70298556,13.76075547,碧
瀑布蓝,色谱_perchouli,73.499,-27.779,-17.181,碧
甸子蓝,中国美色_中国国家地理,55.48,-45.265,-24.509,碧
甸子蓝,中国色名综览_凑幸卫,71.46898764,-22.53189156,-23.02551708,碧
清水蓝,色谱_perchouli,81.267,-19.046,-10.103,碧
海鸥灰,色谱_perchouli,57.88,4.119,11.083,碧
海鸥灰,中国色名综览_凑幸卫,65.35102693,9.409725992,5.738632186,碧
银鼠灰,中国色名综览_凑幸卫,71.5747446,4.672955968,16.93418813,碧
嫩葱绿,DIC中国传统色,59.512,-17.708,23.638,碧
彩绿,染色样本士林类_何进丰,40,-43,0,碧
苍青,中国美色_中国国家地理,63.137,0.142,17.649,碧
浅翠兰,涤棉色谱_何进丰,74,-30,-13,碧
妃色,中国美色_中国国家地理,45.972,63.575,43.967,红
银红,国标,34.3,28.2,29.4,红
银红,故宫里的色彩美学_郭浩,83.932,11.649,-0.718,红
桃红,中国色名综览_凑幸卫,71.59696773,11.36731023,-1.180787885,红
洋红,国标,50.1,42.8,-16.8,红
殷红,色谱_perchouli,27.428,46.106,23.922,红
殷红,色谱_perchouli,27.428,46.106,23.922,红
殷红,中国色名综览_凑幸卫,33.47336899,34.91385768,-4.557985183,红
枣红,染色样本纳夫妥类_何进丰,27,26,3,红
胭脂红,色谱_perchouli,54.253,65.643,54.898,红
胭脂红,色谱_perchouli,54.253,65.643,54.898,红
淡咖啡,色谱_perchouli,43.531,21.202,31.589,红
淡曙红,色谱_perchouli,51.923,72.622,34.349,红
尖晶玉红,色谱_perchouli,43.83,66.502,30.205,红
晶红,中国色名综览_凑幸卫,81.32076708,32.41666778,-6.828374292,红
豇豆红,钧瓷色彩的特征与分类体系研究_王庆斌,45.207,53.482,53.901,红
紫荆红,色谱_perchouli,53.346,74.583,5.64,红
扁豆花红,色谱_perchouli,57.061,67.852,0.32,红
扁豆花红,中国色名综览_凑幸卫,64.59972945,50.94280274,-8.906329787,红
丹紫红,中国色名综览_凑幸卫,54.06657942,39.92430893,-15.82539008,红
玫瑰红,钧瓷色彩的特征与分类体系研究_王庆斌,22.058,30.254,13.733,红
玫瑰红,中国色名综览_凑幸卫,51.54345514,47.04518128,-18.27073224,红
颊红,中国色名综览_凑幸卫,81.34813274,36.3543706,19.71118763,红
菜头紫,色谱_perchouli,33.329,51.313,5.398,红
浅血牙,DIC中国传统色,83.776,8.927,3.832,红
浅血牙,涤棉色谱_何进丰,75,36,35,红
浅血牙,涤棉色谱_何进丰,87,12,28,红
椒褐,故宫里的色彩美学_郭浩,34.273,18.019,14.793,红
爵头,故宫里的色彩美学_郭浩,20.612,35.671,20.208,红
茶色,故宫里的色彩美学_郭浩,50.546,2.156,19.672,红
浅粉红,涤棉色谱_何进丰,82,42,10,红
浅粉红,涤棉色谱_何进丰,85,33,7,红
品红,中国传统色彩图鉴_鸿洋,47.994,74.013,-2.997,红
垂丝海棠红,中国色名综览_凑幸卫,71.59707527,44.77461186,-7.753099651,红
驼色,国标,70.7,15.1,15.9,紫
驼色,色谱_perchouli,32.641,10.263,22.227,紫
驼色,乾隆色谱_刘剑,59,15,28,紫
靛蓝,中国传统色彩图鉴_鸿洋,32.355,-4.284,-23.342,紫
普蓝,古色之美_青简,36.044,-6.658,-43.359,紫
雪青,国标,70.9,6.7,-11.7,紫
粉紫,国标,65.9,11.8,-27,青
紫粉,国标,65.9,11.8,-27,紫
茄紫,古色之美_青简,14.392,9.708,2.06,紫
玫瑰紫,色谱_perchouli,44.097,60.649,-10.284,紫
玫瑰紫,古色之美_青简,46.028,57.843,-3.665,紫
玫瑰紫,钧瓷色彩的特征与分类体系研究_王庆斌,23.148,4.867,-3.865,紫
暗紫苑红,色谱_perchouli,29.298,42.041,18.376,紫
姜红,色谱_perchouli,79.841,21.107,1.983,紫
中红灰,人造丝绸缎色谱_何进丰,66,5,10,紫
豆沙,色谱_perchouli,17.416,19.846,10.943,紫
群青,色谱_perchouli,46.325,-0.83,-41.953,紫
群青,敦煌彩绘文物数字化保护色卡制作方法研究_梁金星,33.69,15.55,-53.33,紫
景泰蓝,中国颜色_黄仁达,33.088,2.703,-47.147,青
群青,中国传统色彩图鉴_鸿洋,33.088,2.703,-47.147,紫
葡萄酱紫,色谱_perchouli,18.649,32.575,17.41,紫
金鱼紫,色谱_perchouli,15.387,32.033,12.888,紫
石竹紫,色谱_perchouli,19.595,39.165,14.852,紫
墨紫,色谱_perchouli,9.593,18.768,0.145,紫
墨紫,钧瓷色彩的特征与分类体系研究_王庆斌,10.466,25.206,-20.805,紫
苋菜紫,色谱_perchouli,35.634,55.136,-9.202,紫
青蛤壳紫,中国色名综览_凑幸卫,71.58363968,26.81881837,-20.80157356,紫
魏紫,色谱_perchouli,29.918,52.013,-26.79,紫
螺甸紫,中国色名综览_凑幸卫,61.6811147,19.24452506,-34.40177669,紫
满天星紫,色谱_perchouli,24.425,23.302,-43.176,紫
鲜蓝,DIC中国传统色,36.515,28.887,-58.842,紫
紫薇花,DIC中国传统色,72.686,32.123,-17.535,紫
浅凤仙紫,DIC中国传统色,66.185,32.351,-31.066,紫
空青,故宫里的色彩美学_郭浩,54.97,-6.28,-15.528,紫
绀宇,故宫里的色彩美学_郭浩,25.557,5.947,-36.367,紫
