color,l,a,b,subparent,parent
莓酱红,61.46586361,53.98257048,57.02546759,赤,赤
菠萝红,66.52659896,46.48298632,52.24560821,赤,赤
萝卜红,53.33192528,60.65759692,39.59563333,赤,赤
落霞红,46.57327147,44.94459821,43.1835229,赤,赤
虎黄,69.5,38.5,65.5,赤,黄
蜻蜓红,60.14817,56.51871905,39.21942207,赤,赤
蟹壳红,63.51657614,43.80119837,47.87745114,赤,赤
蟹蝥红,44.991,39.536,40.347,赤,赤
血朱,48.01,57.5,46.43,赤,赤
褐色,42.7805,19.079,29.15625,赤,赤
谷鞘红,68.94882768,42.92840749,26.88141515,赤,赤
赤,66,52,31,赤,赤
赤灵,38.174,33.951,33.891,赤,赤
赤缇,49.984,36.778,28.195,赤,赤
赤黄,78.2,20.1,24.9,赤,白
赩炽,50.784,46.871,36.036,赤,赤
赪尾,66.25,37.544,38.929,赤,赤
赪霞,68.892,32.845,40.628,赤,黄
赭石,42.56479868,24.30118765,26.9493473,赤,赤
赭红,49.52,25.69333333,24.03133333,赤,赤
赭色,44.667,41.609,33.042,赤,赤
酡红,48.723,48.847,41.125,赤,赤
醉瓜肉,60.44879042,27.84318837,36.80290292,赤,赤
野蔷薇红,73.24030687,30.80503008,31.46930268,赤,赤
金棕,42.62825,29.494,26.93275,赤,赤
金红,58.1865,38.964,30.9145,赤,赤
金莲花橙,58.77853136,51.03295537,58.13087569,赤,赤
金驼,56.74648902,29.50597048,38.51932951,赤,赤
铁棕,52.68467843,42.6637883,54.21618452,赤,赤
铁水红,60.05726179,60.79563014,36.75732414,赤,赤
铁锈红,42.738,42.674,33.535,赤,赤
铅丹,59.852,50.2795,42.379,赤,赤
银朱,49.2785338,54.48409077,36.41819242,赤,赤
陶瓷红,57.879,44.016,57.372,赤,黄
陶磁红,54.04255333,36.92810845,30.54761258,赤,赤
雄精,60.456,42.2,46.446,赤,赤
雄黄,66.48808187,30.43249571,57.63058322,赤,黄
韎韐,43.533,28.337,41.433,赤,赤
驼黄,51,24,39,赤,赤
鱼红,50,38,34,赤,赤
鱼鳃红,54.27849469,58.69004537,35.00515469,赤,赤
鲑鱼红,73.56757146,22.50218707,36.79981728,赤,黄
鹅冠红,44.925,66.647,39.401,赤,赤
鹤顶红,48.85143568,57.90369344,38.51827939,赤,赤
鹿皮褐,65.9938123,17.96582002,29.03082311,赤,黄
麂棕,59.18423903,33.96294844,51.76001426,赤,黄
麝香褐,54.863,14.7865,25.476,赤,赤
黄丹,56.133,55.183,61.771,赤,赤
黄鸭色,47.393,13.756,22.634,赤,赤
龙睛鱼红,61.03638089,49.06572196,50.20802735,赤,赤
丝瓜花黄,84.357,-2.941,64.279,黄,黄
中黄,77.9,11.7,76,黄,黄
丹东石,79.982,0.302,35.984,黄,黄
九斤黄,74.687,9.305,34.841,黄,黄
乳鸭黄,82.41206215,7.152634445,74.05032522,黄,黄
人籁,71.762,-29.51,69.043,黄,黄
佛手黄,84.99858618,-1.078220948,73.47796824,黄,黄
凋叶棕,71.07756606,20.70702424,39.97276367,黄,黄
初熟杏黄,80.51428647,11.01031713,56.79439603,黄,黄
南瓜黄,75.022,12.36,32.745,黄,黄
卡其黄,73.833,1.082,30.244,黄,黄
土布色,73.71,8.686,29.76,黄,黄
土黄,68.23533864,10.09412335,54.38917601,黄,黄
大豆黄,85.13613146,4.755106601,64.28341776,黄,黄
太一余粮,74.549,1.398,48.643,黄,黄
女贞黄,93.425,-6.612,32.634,黄,黄
奶黄,83.5,-2.5,70,黄,黄
姚黄,81.37235004,-11.67909463,35.95377421,黄,黄
姜黄,70.55690609,7.103202824,51.3409411,黄,黄
嫩姜黄,75.286,-0.899,60.312,黄,黄
嫩草绿,65.584,-14.742,41.767,黄,黄
嫩鹅黄,83.6495,-3.2965,54.494,黄,黄
嫩黄,87.06666667,-2.9,52.66666667,黄,黄
密陀僧,68.933,10.60166667,41.29,黄,黄
富春纺色,85.998,2.212,26.6,黄,白
小鸡黄,82.433,-3.532,37.12,黄,黄
少艾,90.787,-15.179,39.427,黄,黄
新禾绿,74.77233405,-3.152634495,64.20375446,黄,黄
新芽色,65.415,-5.654,36.739,黄,黄
明黄,83.2265,0.2685,69.52983333,黄,黄
月灰,71.34503026,-3.10641345,36.20298442,黄,黄
木瓜黄,81.13854818,7.256961112,65.49793501,黄,黄
杏仁黄,86.0572145,8.131119573,30.19528415,黄,黄
杏黄,68.94760795,23.61487106,52.28222884,黄,黄
杨桃色,85.694,-14.926,50.01,黄,黄
松花,86.9975,-7.765,55.2795,黄,黄
枇杷黄,75.38433545,29.85882784,69.74743663,黄,黄
枝黄,77.658,-4.362,44.489,黄,黄
枯绿,67.23492976,-0.001877246,44.16668955,黄,黄
柚黄,83.10579686,-3.845750913,80.76678958,黄,黄
柠檬黄,86.59166029,-2.062837821,66.06729438,黄,黄
柳叶黄,67.27,-11.89,66.45,黄,黄
柳黄,77.5645,-9.9375,45.4105,黄,黄
栀子黄,78.17018061,8.283566705,64.3183488,黄,黄
栾华,70.804,-3.555,42.74,黄,黄
桑蕾,86.474,-2.721,32.864,黄,黄
椒房,69.218,16.887,41.456,黄,黄
榴萼黄,74.57713406,24.47148913,55.80104992,黄,黄
槐花黄绿,82.84017425,-17.14020024,43.91197591,黄,黄
槐黄,88.927,-13.895,67.36,黄,黄
樱草色,86.2685,-9.0135,54.21,黄,黄
橄榄黄绿,74.3023472,-20.73424996,56.12354016,黄,黄
橙皮黄,75.10175896,26.75738236,78.87547051,黄,黄
檗黄色,89.4255,-3.6105,38.0075,黄,黄
水晶末,77.7765,13.952,22.833,黄,白
水龙吟,63.92,-29.619,57.069,黄,黄
沙饧,69.126,1.572,31.308,黄,黄
油菜花黄,89.28522172,-2.103273855,61.28373911,黄,黄
浅姜黄,81,12,50,黄,黄
浅杏黄,88,5,50,黄,黄
浅桔黄,73.674,7.445,23.739,黄,白
浅糙米黄,84,6,37,黄,黄
浅草绿,76.249,-20.2395,53.698,黄,黄
浅草黄,73,4,38,黄,黄
浅豆黄,75,7,28,黄,黄
浅铬黄,78.21602878,8.952211239,73.44079879,黄,黄
浅韭黄,80,-20,53,黄,黄
浅驼色,76.94894737,4.435896181,24.82730245,黄,白
浅鹅黄,92,-9,62,黄,黄
浅黄棕,71.601,14.695,38.317,黄,黄
