color,l,a,b,subparent,parent
淡棕茶,66.795,-0.875,15.373,绿,白
淡灰绿,65.12770935,-6.149807101,16.96330452,绿,青
深宝石绿,54.448,-26.747,15.262,绿,青
深果绿,45.5,-36,18,绿,青
深琉璃绿,44.44041996,-20.67551353,15.68618164,绿,青
深绿,40.63133333,-32.21166667,9.467666667,绿,青
深翠绿,43,-32.5,1,绿,青
漆姑,50.866,-23.435,22.889,绿,青
潭水绿,39.33912733,-2.802818819,25.63627295,绿,黑
灰米,69.275,-3.427,16.66,绿,白
灰绿,55.61832414,-4.186197083,28.61583682,绿,黄
玄校,65.896,-1.71,16.849,绿,白
玉髓绿,67.0173556,-41.88432695,31.05317773,绿,青
王刍,65.28,-3.655,25.889,绿,黄
琉璃绿,61.650308,-39.31565449,33.66993992,绿,青
琬琰,68.14,-5.427,17.75,绿,白
瓜皮绿,42.001,-20.931,17.78566667,绿,青
瓷秘,76.666,-7.313,21.123,绿,白
石发,54.786,-23.445,27.583,绿,青
碧山,58.241,-24.02,36.804,绿,黄
碧滋,63.796,-12.155,16.402,绿,青
祖母绿,49.63725,-35.31325,18.063,绿,青
秧绿,63.71642998,-19.09915309,15.22797935,绿,青
竹青,55.085,-14.72933333,22.334,绿,青
紫杉绿,33.62058343,-21.10681967,15.21051759,绿,青
紫花布,69.789,4.021,17.572,绿,白
綟绶,45.655,-1.893,19.773,绿,黑
纺织娘绿,74.56285817,-20.87219718,17.16674308,绿,青
绞衣,49.2,-2.571,24.025,绿,青
绿沈,52.566,-20.9555,31.64,绿,青
绿琉璃色,49.293,-18.485,19.721,绿,青
绿色,56.6688,-39.2746,21.4778,绿,青
绿豆褐,57.138,-1.637,17.341,绿,青
绿青,62.34,-14.95,29.25,绿,青
翠微,48.765,-29.916,26.631,绿,青
翠虬,40.917,-24.152,24.379,绿,青
翡翠色,42.5615,-49.669,6.5475,绿,青
老绿,44.731,-16.833,13.989,绿,青
肉棕灰,66.655,5.365,14.759,绿,白
芥菜绿,59,-12,13,绿,青
芦苇绿,77.25347378,-23.82135035,36.83263511,绿,黄
芭蕉绿,50.94569296,-29.62562935,14.25501123,绿,青
芰荷,46.752,-24.644,21.273,绿,青
苍翠,54.125,-25.066,9.205,绿,青
苍葭,74.552,-16.443,21.688,绿,白
苔古,53.363,-8.132,11.214,绿,青
苹果绿,60.64619904,-23.06268961,32.70965817,绿,青
茵绿,71.5969489,-21.20454417,27.37835093,绿,青
茶绿,48.09625,-8.219,19.98375,绿,青
草灰绿,53.93249442,-2.618472258,24.57943633,绿,青
草绿,55.02241033,-20.18420858,27.99994817,绿,青
荩箧,52.318,-2.897,24.836,绿,青
荷叶绿,41.59673907,-25.33025812,5.257969119,绿,青
荷茎绿,69.6225,-17.1395,17.6405,绿,青
莓莓,40.237,-14.802,13.697,绿,青
莴苣绿,65.33049361,-18.83607383,15.03646351,绿,青
菉竹,55.471,-20.405,15.124,绿,青
萤石绿,63.69174035,-29.63199359,24.7840439,绿,青
葱倩,56.125,-32.064,33.149,绿,青
葱根绿,65.52714318,-31.70441843,27.5460519,绿,青
蔻梢绿,73.34565223,-34.58834316,15.60438086,绿,青
薄荷绿,45.85335249,-27.61439736,7.431698084,绿,青
蘋婆绿,40.762,-24.91275,4.017,绿,青
虾灰,73.981,-5.767,17.327,绿,白
蛇胆绿,53.07726101,-12.8533256,11.685905,绿,青
蟾绿,58.58857329,-33.34628314,12.09872606,绿,青
豆绿,65.46495597,-21.94800193,31.28206495,绿,青
豆青,64.344,-8.60975,16.428,绿,青
豌豆绿,67.59152078,-16.79521155,18.48127723,绿,青
铁绿,43.197,-5.44,13.868,绿,青
雀梅,55.398,-11.834,12.33,绿,青
青圭,58.834,-7.395,27.405,绿,青
青梅,61.50002409,-17.73987185,14.24067935,绿,青
青楸,63.688,-18.717,14.432,绿,青
青翠,50.07619898,-39.12582956,11.30943264,绿,青
青菜绿,71.58316435,-51.09692881,45.4172776,绿,黄
青葱,53.93,-40.08,32.614,绿,青
青豆绿,53.37654843,-21.06957766,16.6207703,绿,青
青豆色,66.628,-10.9035,17.758,绿,青
青青,43.467,-20.172,19.233,绿,青
风入松,56.461,-12.066,32.277,绿,黄
鲜绿,64.84266993,-45.71012918,31.87540156,绿,青
鳝鱼皮,52.727,-9.224,32.365,绿,黄
鹦鹉绿,52.44387915,-35.7097347,32.82209149,绿,青
麦浪绿,54.10901605,-29.96286161,24.46710918,绿,青
麹尘,81.155,-14.128,23.583,绿,白
黄琮,59.055,1.612,20.132,绿,青
黄绿,60.21,-10.3035,33.7375,绿,黄
黄螺,67.486,-0.208,24.113,绿,白
龟背黄,46.618,4.049,23.017,绿,黑
三绿,73.74051474,-26.78506087,5.65023243,碧,青
不皂,69.139,-2.744,4.263,碧,白
中天蓝,71,-7,-6,碧,青
二绿,62.469,-23.543,-3.792,碧,青
二青,75.9,-25.2,-12.5,碧,青
亚丁绿,56.43982009,-19.40686276,-0.709692401,碧,青
人熊东方白,72,-4,-2,碧,白
佩玖,66.061,1.221,12.683,碧,白
冰山蓝,70.59994001,-4.260385756,-3.543123438,碧,青
嘉陵水绿,82.52802956,-19.25307856,14.79023625,碧,白
土耳其玉绿,74.00805438,-20.33928369,-11.54556974,碧,青
大理石色,70.684,-6.133,4.82,碧,白
大红官绿色,64.79,-12.25,-2.04,碧,青
天水碧,65.0185,-19.7085,-7.504,碧,青
嫩荷绿,84.92377881,-22.35779174,18.77042227,碧,白
嫩葱绿,58.9895,-17.476,6.5565,碧,青
扁青,56.549,-19.897,-8.664,碧,青
明灰,62.6162694,-7.051268763,-0.197262982,碧,青
春蓝,67.29,-7.196,-3.61,碧,青
晚波蓝,63.30972024,-7.987481729,-4.874384591,碧,青
晴天兰,70,-20,-20,碧,青
暗橄榄绿,52.87247754,-14.07232657,5.192149054,碧,青
松霜绿,65.98789663,-12.61877108,4.630464699,碧,青
果灰,69.917,-11.934,4.686,碧,青
枝绿,77.96925,-15.17025,5.1725,碧,白
桑皮绿,75.52125052,-14.74935255,-0.056009204,碧,青
梧枝绿,67.76744188,-18.36006148,-0.268913257,碧,青
正灰,66.812,-2.176,-3.685,碧,青
正青,65.19,-17.571,-9.757,碧,青
毛绿,62.83496109,-25.08266185,7.744251823,碧,青
水兰,69,-29,-13,碧,青
水色,64.204,-11.246,-2.656,碧,青
水貂灰,62.913,-3.705,3.446,碧,青
法国梧桐皮色,61.99,-5.315,10.571,碧,青
浅中绿,58,-38,-5,碧,青
浅天兰,78,-17,-12,碧,青
浅杏灰,63,6,12,碧,白
浅松绿,76.363,-13.945,-0.072,碧,白
浅湖灰,64,-10,3,碧,青
浅碧青,65,-21,-14,碧,青
浅绿,65,-31,-1,碧,青
浅翠兰,72,-27,-17.5,碧,青
浅蔚兰,73,-21,-13,碧,青
浪花绿,72.61220573,-10.62915612,-0.401628903,碧,青
海王绿,50.97306654,-28.06243243,0.812182656,碧,青
淡绿,71,-23,2,碧,青
淡绿灰,58.13458604,-9.090759527,-0.472819615,碧,青
深松绿,68.634,-18.7905,-4.1905,碧,青
深水兰,55,-35,-20,碧,青
深湖绿,63,-35,3,碧,青
深银灰,71.556,-2.603,11.148,碧,白
清水蓝,78.20494301,-16.25388306,-9.285601048,碧,青
渌波,70.741,-14.337,12.476,碧,青
湖兰,74,-25,-7,碧,青
湖色,67.07280478,-28.67344454,8.414115632,碧,青
湖蓝,80.7,-18.1,-4.2,碧,白
瀑布蓝,72.51879863,-21.41761131,-17.42390057,碧,青
牡蛎绿,71.59692279,-16.03820631,12.70526172,碧,青
独山玉绿,55.28700922,-12.57069975,4.507458308,碧,青
玉绿,82.976,-21.897,7.952,碧,白
玉色,77.61253477,-17.32348233,9.254413682,碧,白
瓦松绿,58.39759298,-11.45672276,4.47845657,碧,青
田园绿,72.21385171,-31.73865878,10.51451145,碧,青
甸子蓝,64.04266255,-32.33163052,-22.70583903,碧,青
白青,73.7485,-14.0135,-2.825,碧,青
石绿,58.65413288,-25.4190367,2.260048001,碧,青
石莲褐,57.495,0.878,8.719,碧,青
石蓝,69.44,-21.816,-18.18,碧,青
碧玉石,60.4525,-15.152,-6.816,碧,青
碧绿,57.481,-39.98375,-0.7745,碧,青
碧蝉绿,64.84060868,-6.916077676,-1.592820843,碧,青
秘色,74.80225,-9.98325,0.305,碧,白
竹绿,64.34075652,-41.22172704,1.954444879,碧,青
粗孔雀绿,51.172,-26.148,0.555,碧,青
繱犗,73.516,-19.344,-2.229,碧,青
纸棕,69.446,2.802,14.282,碧,白
绍衣,66.684,1.621,3.501,碧,白
缥碧,64.334,-16.112,5.317,碧,青
美蝶绿,64.61663369,-37.85204518,-6.68797415,碧,青
翠涛,62.282,-12.883,4.612,碧,青
艾绿,71.18607158,-14.02909847,12.563031,碧,青
芦灰,59.32,1.0905,9.61,碧,青
苍筤,73.361,-15.019,4.203,碧,青
草原远绿,75.29360691,-11.19158743,-0.3705521,碧,白
蔚蓝,66.88018209,-24.51817302,-18.27426659,碧,青
藻绿,61.65861751,-11.5950034,8.45739783,碧,青
蛋白石绿,59.2378798,-18.86165075,6.42490986,碧,青
蛙绿,69.36277783,-38.4052069,9.554650599,碧,青
蝶兰,61,-30,-13,碧,青
螳螂绿,76.5274989,-21.68252103,14.54414751,碧,青
西子,74.261,-15.937,-10.926,碧,青
醽醁,73.803,-8.621,2.228,碧,白
铜绿,62.485,-23.028,5.11775,碧,青
铜绿色,68.17099414,-23.37204752,8.887025163,碧,青
铜青,54.088,-26.611,-3.189,碧,青
银灰,66.3675,3.054,7.9885,碧,白
银箔,64.916,-1.82,7.573,碧,青
银鼠灰,64.78195743,0.967659328,3.265364689,碧,青
镍灰,69.01944544,-5.13182792,0.019018046,碧,青
霁青,76.36441397,-13.23876543,-18.70618397,碧,青
青古,75.354,-7.128,8.929,碧,白
青玉案,70.491,-8.178,14.444,碧,白
青矾绿,59.52822424,-36.08786417,1.272352676,碧,青
青碧,64.34,-33.186,1.365,碧,青
鱼青,75,-8,7,碧,白
鸣珂,72.913,-5.103,12.521,碧,白
鹦哥绿,63.81522227,-39.13339024,-0.935000468,碧,青
麦苗绿,73.23123406,-35.2818296,11.62415446,碧,青
鼠毛褐,60.4,3.1,10.6,碧,青
龟背灰,61.6812588,2.049388343,11.10549153,碧,青
丹秫,33.427,34.535,27.965,红,赤
丹紫红,56.12085981,46.69343631,-6.568130027,红,赤
丽春红,45.01843341,59.58534619,35.6643386,红,赤
乌罗松红,38.246,49.688,19.07,红,赤
二硃,46.757,34.971,20.089,红,赤
佛赤,36.67,33.545,27.335,红,赤
兔眼红,54.36239055,59.47059044,-0.500216589,红,赤
凤仙花红,63.8654333,36.30703554,3.43490867,红,赤
初荷红,65.67213857,43.50826986,-4.020221296,红,赤
合欢红,73.94174533,29.43660356,6.505226383,红,白
吊钟花红,63.3170512,47.10535283,-2.172448436,红,赤
品红,50.70694471,61.83619618,4.385212568,红,赤
唇红,66.64418217,44.91379932,17.71310948,红,赤
唇脂,49.74,46.55,14.512,红,赤
唐菖蒲红,50.70743834,64.13225869,32.54217224,红,赤
喜蛋红,46.79861803,62.23691999,6.933584309,红,赤
土红,43.71,26.898,11.804,红,赤
垂丝海棠红,71.59707527,44.77461186,-7.753099651,红,赤
夕阳红,56.55923023,62.91106209,34.94502703,红,赤
大繎,29.653,40.625,21.417,红,赤
夹竹桃红,57.31465062,50.01259156,5.42320832,红,赤
妃红,43.255,37.159,21.29,红,赤
妃色,61.81275,35.79425,21.13775,红,赤
嫣红,59.824,41.763,11.648,红,赤
嫩菱红,57.06417782,54.75118508,-2.890863663,红,赤
孟加拉玫瑰红,53.56403869,33.71402352,2.173675805,红,赤
尖晶玉红,47.16016655,56.89744571,17.45431862,红,赤
山茶红,60.81249994,60.24772325,18.26849121,红,赤
岱赭,44.899,34.8145,26.632,红,赤
彤管,72.886,25.106,4.297,红,白
扁豆花红,60.83036472,59.39740137,-4.293164893,红,赤
报春红,62.33349397,32.36939003,1.504931949,红,赤
春梅红,71.71755927,32.29906602,7.5028615,红,赤
晶红,73.56392236,36.10455593,3.728541903,红,赤
暗紫苑红,35.23373607,34.08633942,7.948687687,红,赤
月季红,44.15075693,49.14654748,9.388908968,红,赤
月月红,47,52,5,红,赤
朝霞红,23.892,44.028,28.149,红,赤
木红,47.288,27.2905,20.729,红,赤
朱,48.66905359,53.25775269,29.41301301,红,赤
朱孔阳,39.898,60.281,27.572,红,赤
朱樱,31.43,46.791,27.322,红,赤
朱湛,35.405,42.143,24.859,红,赤
朱草,41.284,41.421,27.849,红,赤
杨妃,70.398,37.598,7.578,红,赤
杨梅花红,58.1950026,42.71967748,15.73817829,红,赤
松叶牡丹红,42.05990629,55.38877667,15.0134059,红,赤
枣红,34.41728881,40.14184385,18.62872061,红,赤
枫叶红,44.87483354,45.75413671,19.63192711,红,赤
枸杞红,51.57741738,55.90789295,14.25117331,红,赤
栗红,35.03,46.062,28.279,红,赤
桃红,61.37819677,37.65733102,7.550421211,红,赤
桃色,60.847,50.55,-6.69,红,赤
椒褐,42.3065,24.0845,12.2165,红,赤
榅桲红,52.72787663,42.51468342,3.595144259,红,赤
榲桲红,53.041,72.51,14.221,红,赤
榴子红,70.7098143,34.12034538,14.18523259,红,赤
樱桃色,47.622,64.257,15.921,红,赤
樱红,52,61,28,红,赤
檀唇,70.355,19.991,18.237,红,白
檀色,51.358,25.739,15.65433333,红,赤
殷红,34.12654612,42.15898221,16.54987685,红,赤
水华朱,36.829,53.072,32.261,红,赤
波根红,77,31,1,红,白
洋红,50.4705,55.744,-10.525,红,赤
浅玫瑰,49,41,-3,红,赤
浅粉红,80.75,32.75,7.5,红,白
浅红,69,41.5,11,红,赤
浅芍药红,72,30,3,红,赤
浅茄花紫,62,42,-4,红,赤
浅茜红,70.5,41.5,23,红,赤
海棠红,50.01421179,55.78146064,21.05439102,红,赤
淡土黄,45.94816639,20.96171601,20.49853641,红,赤
淡曙红,53.86818255,63.4395732,27.02304555,红,赤
淡纬红,71.56594766,23.8379879,2.777691723,红,白
淡绛红,64.158,48.693,4.181,红,赤
淡维红,75.03989368,41.55624333,4.129166541,红,赤
淡茜红,67.28812011,40.11280881,6.16905788,红,赤
淡菽红,58.41522425,53.59142345,28.26923151,红,赤
淡蕊香红,61.73726334,60.26889688,13.70790354,红,赤
深大红,44,55,30,红,赤
深晶红,50,56,22,红,赤
深曙红,38,51,21,红,赤
深杏,57,15,16.5,红,赤
深枣红,36.5,44,17,红,赤
深桃红,60,54,2,红,赤
深牙妃,78,26,14,红,白
深玫红,37,53,6,红,赤
深红,43.15,51.95,14.45,红,赤
深芍药红,53,42,-1,红,赤
深蔷薇红,55,58,-3,红,赤
深西红,50,56,27,红,赤
深赭红,40,40,19,红,赤
深锈红,38,25,14,红,赤
深香叶红,54,57,16,红,赤
渥赭,59.271,46,12.466,红,赤
满江红,46.1475507,32.53965283,8.73209856,红,赤
火岩棕,36.81092537,30.38965864,20.21928619,红,赤
熟褐,46.67,15.497,19.267,红,赤
爵头,20.612,35.671,20.208,红,赤
牙绯,51.894,41.274,19.255,红,赤
牡丹粉红,77.65677502,31.01376329,8.366514072,红,白
猩红,42.13375,50.71525,29.5685,红,赤
玉红,49.56115804,43.43908771,14.53372424,红,赤
玫瑰灰,42.50483845,33.29435861,22.30965429,红,赤
玫瑰红,39.64293189,48.60514766,8.21690847,红,赤
玫红,44,60,4,红,赤
琅玕紫,54.019,48.024,-0.088,红,赤
白芨红,67.62997507,40.09780059,-2.905805267,红,赤
石榴红,42.83666667,54.157,28.74766667,红,赤
石竹红,53.65826265,58.2314145,13.85113998,红,赤
砖红,38.258,28.264,22.566,红,赤
秋海棠红,46.86634634,63.4027534,35.38787113,红,赤
粉团花红,71.99766971,27.58817105,1.409022408,红,白
粉红,74.3701003,29.10674146,4.329662292,红,白
紫梅,58.395,27.843,0.779,红,赤
紫矿,43.348,33.988,10.864,红,赤
紫荆红,53.52896256,67.21900918,1.325834444,红,赤
縓缘,64.005,28.11,5.743,红,赤
红,46.27666667,56.88933333,22.66133333,红,赤
红䵂,58.47,35.148,16.215,红,赤
红梅,68.393,29.622,9.174,红,赤
红梅色,68.393,29.622,9.174,红,赤
红珊瑚,37.48,49.14,26.2,红,赤
红莲灰,51.828,36.324,1.076,红,赤
红踯躅,44.103,56.819,-3.536,红,赤
红酱,32,40,16,红,赤
绛纱,56.08,23.137,9.479,红,赤
罗兰紫,24.179,41.32,28.284,红,赤
美人祭,52.175,42.503,11.943,红,赤
胭脂紫,44.794,48.55,-2.058,红,赤
胭脂红,47.25924444,49.6160561,25.84256085,红,赤
胭脂虫,37.216,55.203,35.258,红,赤
舌红,73.98717618,30.57192391,13.07768213,红,赤
艳粉,47.496,47.045,-1.636,红,赤
艳红,54.93853322,49.20009295,18.95808035,红,赤
芍药红,63,36,1,红,赤
芍药绯红,68.88530077,29.60116124,-1.910115724,红,赤
苋菜红,38.65205642,47.04609924,16.27662244,红,赤
苏梅,62.058,43.302,2.029,红,赤
苹果红,64.4808725,52.06581129,28.34162841,红,赤
茉莉花红,35.327,49.914,8.362,红,赤
茜红,49.4495,44.83033333,18.99283333,红,赤
茶色,45.5166,24.467,21.9278,红,赤
茶花红,59.45842125,57.91765909,22.78043228,红,赤
茹藘,48.149,28.365,8.613,红,赤
草茉莉红,58.69011187,57.35822123,15.71275663,红,赤
荷花红,62.293,40.873,-9.205,红,赤
莓红,51.827,43.366,14.452,红,赤
莲瓣红,55.04665377,50.28995468,5.326196816,红,赤
莲红,51.62039986,37.12392881,9.559676207,红,赤
菜头紫,39.80104343,49.36767558,-2.221564732,红,赤
菠根红,51.80433227,51.53070736,-2.861136942,红,赤
菱锰红,63.85337762,43.34991023,-8.118149239,红,赤
落叶棕,35.1477539,27.13630335,17.8003293,红,赤
蔷薇红,64,49,-6,红,赤
蕃茄红,42.163,39.149,24.112,红,赤
蕉红色,40.98,51.769,25.508,红,赤
藏花红,52.30265732,67.07395543,1.196198849,红,赤
蚩尤旗,46.989,32.679,14.909,红,赤
蛤蜊粉,64.158,19.551,17.131,红,赤
血牙,67.5,40.26666667,23,红,赤
血红,34.902,29.308,22.961,红,赤
褪色玫瑰,66.7007681,16.78215604,12.75944531,红,白
西红,62,47,21,红,赤
覆盆子红,40.57505205,48.43292471,28.33736953,红,赤
豇豆红,58.88268692,40.27644256,20.02853842,红,赤
象牙红,37.46,45.007,18.39,红,赤
赤色,45.842,63.0155,37.199,红,赤
赫色,43.435,24.92,23.15,红,赤
赫赤,44.51,61.414,20.677,红,赤
赭罗,48.298,18.846,18.161,红,赤
辰沙,44.285,23.355,14.977,红,赤
酢酱草红,58.82109846,34.04437668,-2.066517609,红,赤
釉红,43.082,30.292,22.002,红,赤
银星海棠,43.223,52.515,7.503,红,赤
银红,59.2312,30.2776,13.1796,红,赤
锦葵红,48.06133757,45.21286172,8.952638785,红,赤
镜面朱砂,43.666,33.7935,13.4035,红,赤
长春,59.294,46.381,8.42,红,赤
长春色,52.397,35.976,14.812,红,赤
雌霓,66.744,24.736,2.94,红,赤
霉红,61.6440738,24.29943558,3.354453714,红,赤
霞光红,59.35356532,34.77986165,1.834894019,红,赤
鞓红,44.373,44.692,15.178,红,赤
顺圣,26.949,41.885,23.68,红,赤
颊红,78.50206637,29.7711853,18.44109382,红,赤
香叶红,67.99970057,41.94336581,15.13669634,红,赤
马肺红,44.215,53.134,28.18,红,赤
驼色,52.99950964,13.39643758,13.39995103,红,黑
高粱红,44.14229723,53.30633902,20.2602369,红,赤
魏红,41.072,49.912,-2.133,红,赤
鲜红,65.29922417,58.35439821,25.1765886,红,赤
鸡冠红,44.9930705,54.55644999,20.0036175,红,赤
鸡血石红,51.53325312,33.1800893,11.88736257,红,赤
鸡血红,31.577,33.502,19.861,红,赤
鹅血石红,40.57,46.844,31.361,红,赤
龙嘴花红,71.59714823,45.1398701,11.27756318,红,赤
龙膏烛,65.191,39.978,-4.199,红,赤
龙须红,55.01503702,53.87550828,-10.6810305,红,赤
丁香,67.838,29.165,-13.939,紫,白
丁香紫,56.5905,11.462,-16.19325,紫,青
丁香色,68.511,16.06,-17.3165,紫,白
三公子,32.752,28.242,-24.497,紫,黑
优昙瑞,43.32,20.376,-39.488,紫,黑
凝夜紫,19.941,25.941,-25.602,紫,黑
凤仙紫,48.909,18.62,-13.929,紫,黑
古铜紫,24.14387525,28.307846,-4.06471558,紫,黑
吴须色,33.674,11.03,-43.814,紫,黑
地血,37.717,29.005,-5.26,紫,黑
墨紫,17.42245993,26.11173784,-10.03478097,紫,黑
大紫,29.2,21,-7.8,紫,黑
姜红,65.70910573,20.82009593,0.990238274,紫,白
安安蓝,44.80863464,5.986637139,-34.34947679,紫,黑
宝蓝,39.10647817,4.291488469,-33.938856,紫,黑
山梗紫,52.2295,10.496,-25.184,紫,黑
山黎豆红,55.56110195,26.91702985,1.258905161,紫,赤
延维,35.833,23.336,-44.992,紫,黑
扁豆紫,51.47038176,31.539682,-18.26937675,紫,赤
拂紫绵,41.221,26.246,-17.946,紫,黑
普蓝,33.19266667,5.296,-39.95766667,紫,黑
暗粉,63.392,32.318,-5.968,紫,赤
暮云灰,41.79587538,11.3720118,-0.442433517,紫,黑
木槿紫,58.46466667,24.55966667,-22.71833333,紫,黑
枣酱,33,36,-6,紫,赤
桔梗紫,46.89095887,34.2557376,-28.4701343,紫,黑
椹汁紫,30.76037968,27.11175255,-20.92872193,紫,黑
槿紫,55.58558178,18.15462323,-24.57547582,紫,黑
樱草紫,53.74332759,33.30844808,-7.344292173,紫,赤
檀紫,27.39223428,21.40425386,-3.435159954,紫,黑
油紫,13.249,29.798,-8.929,紫,黑
洋葱紫,49.50624366,33.01844846,-3.455447662,紫,赤
浅凤仙紫,66.185,32.351,-31.066,紫,白
浅海昌蓝,42.775,7.949,-27.923,紫,黑
浅石英紫,65.458,16.057,-22.914,紫,白
浅红莲,60,39,-8,紫,赤
浅芍药绯红,61,38,-9,紫,赤
浅雪酱,56,40,-13,紫,赤
海涛蓝,39.91070861,6.249850428,-38.44567815,紫,黑
海象紫,29.84876144,25.78119212,-6.408859632,紫,黑
深中蓝,33,4,-39,紫,黑
深枣酱,27,28,-2,紫,黑
深玫瑰紫,31,35,-22,紫,黑
深紫,29.4,15.4,-22.9,紫,黑
深紫罗兰,28,21,-34,紫,黑
深红莲,37,46,-21,紫,赤
深艳兰,32,5,-31,紫,黑
深芍药绯红,48,52,-11,紫,赤
深芦灰,43.77412622,11.90905219,-4.403062852,紫,黑
深茄紫,35,31,-34,紫,黑
深豆花紫,48,24,-22,紫,黑
深雪青,38,30,-26,紫,黑
深青莲,36.5,31,-30.5,紫,黑
湛蓝,35.74,11.794,-37.834,紫,黑
满天星紫,34.60120002,17.37327144,-34.14926564,紫,黑
火鸡紫,37.20715394,29.9866856,-7.473246024,紫,黑
烟红,49.93505451,15.93525323,0.720173579,紫,黑
牡丹色,44.927,56.289,-11.489,紫,赤
牵牛紫,29.75161726,40.25832795,-18.70888863,紫,黑
玫瑰紫,38.41964851,42.14205633,-10.09503299,紫,赤
玫瑰葡萄紫,25.24069997,28.63209169,-9.121829368,紫,黑
甘蔗紫,33.10428637,30.22609054,6.070071594,紫,赤
电气石红,51.86157072,46.01509029,-9.602357505,紫,赤
真紫,37,27,1,紫,黑
石竹紫,27.88471651,34.74529191,7.644514669,紫,赤
磨石紫,29.9060128,19.84470575,-3.709536275,紫,黑
空青,41.652,7.433,-29.071,紫,黑
紫,40.78766667,15.55133333,-15.278,紫,黑
紫府,47.151,29.504,-8.637,紫,赤
紫扇贝色,41.626,19.221,-5.706,紫,黑
紫棠,24.377,20.845,-11.039,紫,黑
紫灰,37.26777794,15.29422822,-10.32473968,紫,黑
紫粉,51.8195,24.25,-11.8935,紫,黑
紫紶,41.313,26.947,-20.862,紫,黑
紫红,35.9,29.95,-5.1,紫,黑
紫罗兰,29,28,-34,紫,黑
紫罗蓝,25.591,37.026,-28.866,紫,黑
紫苑,53.797,13.017,-33.929,紫,青
紫茎屏风,50.205,32.413,-6.281,紫,赤
紫草色,30.657,16.26,-20.884,紫,黑
紫蒲,48.31,43.416,-24.621,紫,赤
紫薄汗,69.73,17.311,-17.926,紫,白
紫薇花,72.686,32.123,-17.535,紫,白
紫诰,39.814,15.009,0.783,紫,黑
紫铜色,36.56,18.199,2.258,紫,黑
红光甲基紫,41.2169516,46.90013556,-34.70787651,紫,赤
红光甲花紫,33,28,-23,紫,黑
红灰莲,56.468,26.5125,1.6905,紫,赤
红莲,48,41,-17,紫,赤
红豆紫,36.7,36.7,1.8,紫,赤
绀宇,25.557,5.947,-36.367,紫,黑
绀紫,27.06050314,23.67602646,-13.83579479,紫,黑
绀蓝,27.636,9.009,-39.84,紫,黑
绛紫,36.17,24.82033333,-3.591666667,紫,黑
绾,54.542,14.561,8.618,紫,黑
群青,34.55628571,7.748857143,-44.38057143,紫,黑
胭脂水,51.193,43.781,-8.118,紫,赤
艳兰,37,6,-38,紫,黑
芋紫,46.50808907,22.60381025,-23.20259991,紫,黑
芓紫,38.767,37.312,-16.046,紫,黑
芥拾紫,24.498,29.608,-4.02,紫,黑
芥花紫,40.28091193,47.32237543,-27.36762782,紫,赤
苋菜紫,34.30967687,44.77063273,-9.251304204,紫,赤
苍苍,50.245,9.147,-39.064,紫,黑
苏方,37.292,25.316,7.965,紫,黑
苏木紫,51.57717205,11.4096492,-1.059090876,紫,黑
苏木色,42.747,33.306,0.024,紫,赤
茄子色,30.705,24.57,-17.556,紫,黑
茄紫,30.43066667,20.06933333,-13.14666667,紫,黑
茄花紫,46,40,-8,紫,赤
茈藐,58.46,25.916,-24.072,紫,黑
茶花紫,53,27,-18,紫,黑
荆紫,61.68125529,33.4116145,-19.35457974,紫,赤
荷包海棠红,65.31847105,23.87818724,-5.970148377,紫,白
荷花,71.8,27.8,-12,紫,白
荸荠紫,26.39737972,19.18646837,-12.63286206,紫,黑
萝兰紫,64.43911017,27.21060882,-13.70572075,紫,白
葛巾紫,35.81462601,36.7164574,-19.48404744,紫,黑
葡萄褐,50.071,21.803,6.48,紫,赤
葡萄酒红,29.67447689,38.39260675,-2.730111205,紫,赤
蓝光甲基紫,43.92935041,16.70004341,-40.02084936,紫,黑
蕈紫,49.63985103,10.41422998,-32.850711,紫,黑
藏青,32.68,3.153,-25.664,紫,黑
藕荷紫,40,14,-11,紫,黑
藤萝紫,58.13894021,13.29675976,-23.07825494,紫,青
螺甸紫,56.06755735,13.79576253,-27.49338834,紫,青
蟹螯红,43.89341394,23.01220898,9.85288378,紫,赤
豆花紫,55,24,-19,紫,黑
豆蔻紫,53.23489613,35.78448859,-21.12315931,紫,赤
赪紫,32.522,54.663,-24.45,紫,赤
酱紫,29.01469506,25.26757411,2.510195315,紫,黑
野菊紫,40.54064535,14.27241824,-27.0865258,紫,黑
金鱼紫,24.97344808,34.88660018,1.875058532,紫,黑
铁色紫,33,19,-8,紫,黑
锈红,38.899,22.746,5.857,紫,黑
长春花色,60.18,40.773,-13.634,紫,赤
阴红灰,51.5771579,11.2534048,-4.434888141,紫,黑
隐红灰,59.88838275,14.09215842,-2.911058453,紫,白
雪紫,34.133,17.859,-3.98,紫,黑
雪青,58.392,16.15766667,-20.312,紫,青
霁红,35.794,24.64,7.644,紫,黑
青莲,43.12814099,33.36572613,-25.67886841,紫,黑
青莲紫,42.0275,29.089,-24.3545,紫,黑
青蛤壳紫,66.62881984,26.98790919,-15.61378678,紫,白
飞燕草蓝,40.90309839,4.762175872,-48.00771116,紫,黑
魏紫,36.72055361,45.74849962,-19.29129166,紫,赤
鲜蓝,36.515,28.887,-58.842,紫,黑
鸡冠紫,43.80946586,34.7125489,-7.901135266,紫,赤
鸡冠花红,34.596,45.123,-8.482,紫,赤
