color,from,l,a,b,parent
赭石,涤棉色谱_何进丰,47,8,25,赤
赭石,中国色名综览_凑幸卫,33.41918815,33.41768887,14.95512569,赤
褐色,国标,34.2,13.7,15.2,赤
褐色,中国颜色_黄仁达,36.436,25.969,36.184,赤
褐色,中国美色_中国国家地理,36.013,8.236,24.323,赤
金棕,国标,55.4,22,21.1,赤
石榴红,钧瓷色彩的特征与分类体系研究_王庆斌,20.191,35.806,14.118,赤
石榴红,中国传统色彩图鉴_鸿洋,47.243,68.75,38.64,赤
朱红,中国美色_中国国家地理,49.411,72.361,30.419,赤
朱红,中国传统色彩图鉴_鸿洋,57.59,46.744,58.822,赤
银朱,色谱_perchouli,54.76,66.765,65.183,赤
银朱,DIC中国传统色,46.546,41.609,16.991,赤
猩红,国标,44.2,48.9,21.5,赤
猩红,DIC中国传统色,36.612,47.249,22.368,赤
猩红,DIC中国传统色,36.612,47.249,22.368,赤
朱,中国颜色_黄仁达,45.032,64.859,25.699,赤
朱,染色样本纳夫妥类_何进丰,40,56,24,赤
朱,中国色名综览_凑幸卫,54.99242874,48.4010215,19.5981041,赤
大红,色谱_perchouli,55.765,61.402,57.007,赤
朱,染作江南春水色_金成熺,59.19,40.14,12.21,赤
大红,染作江南春水色_金成熺,59.19,40.14,12.21,赤
赭红,DIC中国传统色,53.38,18.29,20.047,赤
赭红,DIC中国传统色,53.38,18.29,20.047,赤
桔黄,国标,69.1,41.3,52.4,赤
桔黄,DIC中国传统色,60.078,26.433,43.627,赤
桔黄,染色样本士林类_何进丰,68,18,30,赤
桔红,染色样本士林类_何进丰,59,16,19,赤
麂棕,色谱_perchouli,60.433,35.286,59.725,赤
麂棕,中国色名综览_凑幸卫,56.6717171,25.00184531,38.78404277,赤
岩石棕,中国色名综览_凑幸卫,51.54529911,18.38340971,24.62332224,赤
芒果棕,色谱_perchouli,38.87,31.317,41.549,赤
芒果棕,人造丝绸缎色谱_何进丰,52,21,30,赤
芒果棕,中国色名综览_凑幸卫,46.50740638,20.30616623,28.32262371,赤
铁棕,色谱_perchouli,53.821,47.028,58.145,赤
淡可可棕,色谱_perchouli,47.032,38.505,47.844,赤
火泥棕,中国色名综览_凑幸卫,45.93860178,21.28882506,19.7839773,赤
筍皮棕,色谱_perchouli,28.495,28.761,31.816,赤
椰壳棕,色谱_perchouli,34.713,31.558,32.846,赤
槟榔棕,色谱_perchouli,52.645,32.131,54.377,赤
槟榔棕,中国色名综览_凑幸卫,44.40499084,22.67831941,34.76022761,赤
鹅冠红,色谱_perchouli,44.925,66.647,39.401,赤
唐菖蒲红,色谱_perchouli,47.735,69.813,40.898,赤
唐菖蒲红,中国色名综览_凑幸卫,53.67987668,58.45151738,24.18634449,赤
陶瓷红,色谱_perchouli,57.879,44.016,57.372,赤
菠萝红,色谱_perchouli,65.428,45.86,60.388,赤
菠萝红,中国色名综览_凑幸卫,67.62519792,47.10597264,44.10321642,赤
燕颔红,色谱_perchouli,61.377,55.446,66.472,赤
晨曦红,中国色名综览_凑幸卫,67.6433214,39.88286474,34.25320243,赤
野蔷薇红,色谱_perchouli,72.426,32.142,41.056,赤
野蔷薇红,中国色名综览_凑幸卫,74.05461375,29.46806016,21.88260536,赤
绀红,中国色名综览_凑幸卫,41.16846475,30.79501468,23.14849493,赤
莓酱红,色谱_perchouli,60.095,57.378,64.29,赤
瓜瓤红,色谱_perchouli,68.895,36.349,40.779,赤
瓜瓤红,中国色名综览_凑幸卫,65.63460301,39.47077932,22.34062845,赤
芙蓉红,色谱_perchouli,63.768,48.539,52.826,赤
落霞红,色谱_perchouli,49.437,51.31,55.247,赤
蟹蝥红,色谱_perchouli,44.991,39.536,40.347,赤
榴花红,色谱_perchouli,55.719,63.632,60.972,赤
榴花红,中国色名综览_凑幸卫,65.29499944,53.5450444,34.52226211,赤
柿红,色谱_perchouli,55.682,63.008,59.813,赤
柿红,中国色名综览_凑幸卫,55.71900279,59.06456442,24.54723428,赤
蜻蜓红,色谱_perchouli,55,64.138,58.477,赤
蜻蜓红,中国色名综览_凑幸卫,65.29634,48.89943811,19.96184415,赤
铁水红,色谱_perchouli,54.479,68.813,58.805,赤
铁水红,中国色名综览_凑幸卫,61.64000334,57.82772868,15.67103369,赤
